lat,lon,id,time
51.90682,4.46446,GRT02_21b66176-5105-4b1b-9348-e85f216d8f1f,07-12-2017 13:56:20
51.93771,4.41743,GRT02_9394b8db-a6ec-4c5c-9037-0d271bf8d150,07-12-2017 13:57:20
51.90682,4.46446,GRT02_21b66176-5105-4b1b-9348-e85f216d8f1f,07-12-2017 13:57:20
51.93771,4.41743,GRT02_9394b8db-a6ec-4c5c-9037-0d271bf8d150,07-12-2017 13:58:20
51.90682,4.46446,GRT02_21b66176-5105-4b1b-9348-e85f216d8f1f,07-12-2017 13:58:20
51.93771,4.41743,GRT02_9394b8db-a6ec-4c5c-9037-0d271bf8d150,07-12-2017 13:59:20
51.90682,4.46446,GRT02_21b66176-5105-4b1b-9348-e85f216d8f1f,07-12-2017 13:59:20
51.93412,4.42162,GRT02_68773bd4-ff90-4070-bf77-9c8873bfcf2b,07-12-2017 14:00:20
51.93412,4.42162,GRT02_68773bd4-ff90-4070-bf77-9c8873bfcf2b,07-12-2017 14:01:20
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:01:20
51.93412,4.42162,GRT02_68773bd4-ff90-4070-bf77-9c8873bfcf2b,07-12-2017 14:02:20
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:02:20
51.93412,4.42162,GRT02_68773bd4-ff90-4070-bf77-9c8873bfcf2b,07-12-2017 14:03:21
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:03:21
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:04:21
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:05:21
51.90819,4.46351,GRT02_5eabb990-7626-4044-8bd4-550f83116f5b,07-12-2017 14:06:21
51.90682,4.46446,GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,07-12-2017 14:08:21
51.90682,4.46446,GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,07-12-2017 14:09:21
51.90682,4.46446,GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,07-12-2017 14:10:21
51.90682,4.46446,GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,07-12-2017 14:11:21
51.90682,4.46446,GRT02_78263606-e88a-41f2-8360-ef0dcdf5d4e4,07-12-2017 14:12:21
51.91656,4.44397,GRT02_da4d7010-3289-42da-b9b4-ff885d567e8d,07-12-2017 14:12:21
51.91656,4.44397,GRT02_da4d7010-3289-42da-b9b4-ff885d567e8d,07-12-2017 14:13:21
51.91656,4.44397,GRT02_da4d7010-3289-42da-b9b4-ff885d567e8d,07-12-2017 14:14:21
51.91656,4.44397,GRT02_da4d7010-3289-42da-b9b4-ff885d567e8d,07-12-2017 14:15:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:17:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:18:21
51.93771,4.41743,GRT02_2a6f0645-245d-4632-a6e6-9d161458d4df,07-12-2017 14:18:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:19:21
51.93771,4.41743,GRT02_2a6f0645-245d-4632-a6e6-9d161458d4df,07-12-2017 14:19:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:20:21
51.93771,4.41743,GRT02_2a6f0645-245d-4632-a6e6-9d161458d4df,07-12-2017 14:20:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:21:21
51.93771,4.41743,GRT02_2a6f0645-245d-4632-a6e6-9d161458d4df,07-12-2017 14:21:21
51.90682,4.46446,GRT02_272d76a1-d1b8-40a0-bc4c-2ac1e0b669d2,07-12-2017 14:21:21
51.93412,4.42162,GRT02_e7d37fe3-9dbf-4713-9525-02bf42c7c868,07-12-2017 14:22:21
51.90975,4.44957,GRT02_793f4a89-0252-4071-9463-24d8fa62e740,07-12-2017 14:22:21
51.90682,4.46446,GRT02_272d76a1-d1b8-40a0-bc4c-2ac1e0b669d2,07-12-2017 14:22:21
51.93412,4.42162,GRT02_e7d37fe3-9dbf-4713-9525-02bf42c7c868,07-12-2017 14:23:21
51.90682,4.46446,GRT02_272d76a1-d1b8-40a0-bc4c-2ac1e0b669d2,07-12-2017 14:23:21
51.93412,4.42162,GRT02_e7d37fe3-9dbf-4713-9525-02bf42c7c868,07-12-2017 14:24:21
